1	SQR4_MM
2	SQR1_MM
3	SATMIN
4	RMER6D
5	RMER21B
6	RMER20A
7	RMER20
8	RMER19
9	RMER17D_MM
10	RMER17B
11	RMER15
12	RLTR9D2
13	RLTR6I_MM
14	RLTR6C_Mm
15	RLTR6B_Mm
16	RLTR5_MM
17	RLTR53_Mm
18	RLTR51B_Mm
19	RLTR4I_MM
20	RLTR49
21	RLTR48C
22	RLTR48B
23	RLTR48A
24	RLTR47
25	RLTR41A2
26	RLTR34_MM
27	RLTR34C_MM
28	RLTR34B_MM
29	RLTR30E_MM
30	RLTR30D2_MM
31	RLTR30C_MM
32	RLTR30B_MM
33	RLTR29_MM
34	RLTR27_MM
35	RLTR26D_MM
36	RLTR26C_MM
37	RLTR26B_MM
38	RLTR23_MM
39	RLTR20D_MM
40	RLTR20B3A_MM
41	RLTR20A3_MM
42	RLTR20A2_MM
43	RLTR20A2B_MM
44	RLTR20A1_MM
45	RLTR1F_Mm
46	RLTR1E_MM
47	RLTR1D_MM
48	RLTR1D2_MM
49	RLTR19D
50	RLTR19B_MM
51	RLTR19A_MM
52	RLTR17B_Mm
53	RLTR16C_MM
54	RLTR16
55	RLTR14
56	RLTR13G
57	RLTR13F
58	RLTR13E
59	RLTR13D6
60	RLTR13D5
61	RLTR13D3A1
62	RLTR13D
63	RLTR13C3
64	RLTR13B3
65	RLTR13B2
66	RLTR13B
67	RLTR13A3
68	RLTR13A
69	RLTR12G
70	RLTR12D
71	RLTR12C
72	RLTR12B2
73	RLTR12A
74	RLTR12
75	RLTR11C_MM
76	RLTR11B
77	RLTR11A
78	RLTR10F
79	RLTR10D2
80	RLTR10B2
81	ORR1C2
82	ORR1B2
83	MMVL30
84	MMETN
85	MMERVK9C_I
86	MMERVK10D3_I
87	MLTR31FA_MM
88	MLTR31E_MM
89	MLTR31D_MM
90	MLTR31B_MM
91	MLTR25C
92	MLTR25A
93	MLTR18A_MM
94	MERVL_LTR
95	MERV1_LTR
96	LX8B
97	LX7
98	LX5
99	LX10
100	LTRIS_Mus
101	LTRIS6
102	LTRIS4A
103	LTRIS3
104	RLTR13D3
105	L32
106	L1_MM
107	L1VL1_5
108	L1MdV_II
109	L1MdTf_III
110	L1MdMus_II
111	L1MdMus_I
112	L1MdGf_I
113	L1MdF_V
114	L1MdF_III
115	L1MdF_II
116	L1MdFanc_II
117	L1MdA_V
118	L1MdA_IV
119	L1MdA_III
120	L1MdA_II
121	L1Lx_II
122	L1Lx_I
123	L1B_MM
124	IAPLTR3_I
125	IAPLTR1_Mm
126	IAPLTR1a_MM
127	IAPEZI
128	IAPEY5_I
129	IAPEY4_I
130	IAPEY2_LTR
131	IAP1-MM_I
132	GSAT_MM
133	RLTR9A
134	ETNERV
135	ERVB7_4-LTR_MM
136	ERVB7_2B-LTR_MM
137	ERVB7_2-LTR_MM
138	ERVB7_1-LTR_MM
139	ERVB7_1-I_MM
140	ERVB5_2-LTR_MM
141	ERVB5_2-I_MM
142	ERVB4_3-LTR_MM
143	ERVB4_2B-LTR_MM
144	ERVB4_1B-LTR_MM
145	ERVB4_1B-I_MM
146	ERVB4_1-LTR_MM
147	ERVB2_1A-I_MM
148	ERVB2_1-I_MM
149	C573
150	BGLII_C
151	BGLII
152	BC1_Cp
153	B1
154	ENSMUSG00000102201
155	ENSMUSG00000103211
156	ENSMUSG00000104339
157	ENSMUSG00000102971
158	ENSMUSG00000103228
159	ENSMUSG00000103348
160	ENSMUSG00000103058
161	ENSMUSG00000103276
162	ENSMUSG00000103454
163	ENSMUSG00000103401
164	ENSMUSG00000103264
165	ENSMUSG00000104509
166	ENSMUSG00000102792
167	ENSMUSG00000104294
168	ENSMUSG00000104383
169	ENSMUSG00000103998
170	ENSMUSG00000103065
171	ENSMUSG00000103772
172	ENSMUSG00000104416
173	ENSMUSG00000103094
174	ENSMUSG00000103797
175	ENSMUSG00000103173
176	ENSMUSG00000102668
177	ENSMUSG00000104108
178	ENSMUSG00000102433
179	ENSMUSG00000104133
180	ENSMUSG00000102260
181	ENSMUSG00000102958
182	ENSMUSG00000103086
183	ENSMUSG00000103263
184	ENSMUSG00000104278
185	ENSMUSG00000103305
186	ENSMUSG00000103218
187	ENSMUSG00000102896
188	ENSMUSG00000104075
189	ENSMUSG00000103059
190	ENSMUSG00000104240
191	ENSMUSG00000102975
192	ENSMUSG00000102288
193	ENSMUSG00000102258
194	ENSMUSG00000102505
195	ENSMUSG00000103633
196	ENSMUSG00000102366
197	ENSMUSG00000102816
198	ENSMUSG00000104153
199	ENSMUSG00000102176
200	ENSMUSG00000104135
201	ENSMUSG00000103728
202	ENSMUSG00000102487
203	ENSMUSG00000103592
204	ENSMUSG00000104076
205	ENSMUSG00000103807
206	ENSMUSG00000103329
207	ENSMUSG00000103387
208	ENSMUSG00000103853
209	ENSMUSG00000103842
210	ENSMUSG00000102244
211	ENSMUSG00000103109
212	ENSMUSG00000103181
213	ENSMUSG00000102830
214	ENSMUSG00000103307
215	ENSMUSG00000102966
216	ENSMUSG00000102293
217	ENSMUSG00000104487
218	ENSMUSG00000102434
219	ENSMUSG00000103012
220	ENSMUSG00000103066
221	ENSMUSG00000102401
222	ENSMUSG00000102242
223	ENSMUSG00000103929
224	ENSMUSG00000103934
225	ENSMUSG00000102162
226	ENSMUSG00000103860
227	ENSMUSG00000102546
228	ENSMUSG00000102745
229	ENSMUSG00000102693
230	ENSMUSG00000104490
1531	ENSMUSG00000097307
231	ENSMUSG00000102372
232	ENSMUSG00000103446
233	ENSMUSG00000103944
234	ENSMUSG00000104129
235	ENSMUSG00000102615
236	ENSMUSG00000102887
237	ENSMUSG00000103683
238	ENSMUSG00000103041
239	ENSMUSG00000103594
240	ENSMUSG00000102631
241	ENSMUSG00000103680
242	ENSMUSG00000103361
243	ENSMUSG00000102527
244	ENSMUSG00000102312
245	ENSMUSG00000103123
246	ENSMUSG00000103529
247	ENSMUSG00000103994
248	ENSMUSG00000102463
249	ENSMUSG00000102415
250	ENSMUSG00000103950
251	ENSMUSG00000104206
252	ENSMUSG00000102419
253	ENSMUSG00000104384
254	ENSMUSG00000104442
255	ENSMUSG00000103330
256	ENSMUSG00000102660
257	ENSMUSG00000103861
258	ENSMUSG00000102141
259	ENSMUSG00000102475
260	ENSMUSG00000104132
261	ENSMUSG00000102208
262	ENSMUSG00000104126
263	ENSMUSG00000103119
264	ENSMUSG00000103368
265	ENSMUSG00000102970
266	ENSMUSG00000102558
267	ENSMUSG00000102585
268	ENSMUSG00000102738
269	ENSMUSG00000103740
270	ENSMUSG00000103132
271	ENSMUSG00000104381
272	ENSMUSG00000102276
273	ENSMUSG00000104069
274	ENSMUSG00000103895
275	ENSMUSG00000104372
276	ENSMUSG00000103026
277	ENSMUSG00000103197
278	ENSMUSG00000103901
279	ENSMUSG00000102375
280	ENSMUSG00000102622
281	ENSMUSG00000103399
282	ENSMUSG00000102707
283	ENSMUSG00000102940
284	ENSMUSG00000103951
285	ENSMUSG00000103653
286	ENSMUSG00000102939
287	ENSMUSG00000102183
288	ENSMUSG00000102694
289	ENSMUSG00000104166
290	ENSMUSG00000102465
291	ENSMUSG00000103025
292	ENSMUSG00000102555
293	ENSMUSG00000102580
294	ENSMUSG00000102450
295	ENSMUSG00000103417
296	ENSMUSG00000102562
297	ENSMUSG00000103138
298	ENSMUSG00000103540
299	ENSMUSG00000102342
300	ENSMUSG00000103778
301	ENSMUSG00000102438
302	ENSMUSG00000102935
303	ENSMUSG00000102561
304	ENSMUSG00000102411
305	ENSMUSG00000102952
306	ENSMUSG00000102354
307	ENSMUSG00000102298
308	ENSMUSG00000104489
309	ENSMUSG00000103689
310	ENSMUSG00000103032
311	ENSMUSG00000102911
312	ENSMUSG00000103193
313	ENSMUSG00000103952
314	ENSMUSG00000102221
315	ENSMUSG00000103116
316	ENSMUSG00000103869
317	ENSMUSG00000102691
318	ENSMUSG00000102905
319	ENSMUSG00000102931
320	ENSMUSG00000102863
321	ENSMUSG00000103220
322	ENSMUSG00000102953
323	ENSMUSG00000103200
324	ENSMUSG00000102355
325	ENSMUSG00000102423
326	ENSMUSG00000103779
327	ENSMUSG00000103500
328	ENSMUSG00000104097
329	ENSMUSG00000102501
330	ENSMUSG00000102705
331	ENSMUSG00000103390
332	ENSMUSG00000102593
333	ENSMUSG00000102575
334	ENSMUSG00000103993
335	ENSMUSG00000102628
336	ENSMUSG00000103560
337	ENSMUSG00000102504
1532	ENSMUSG00000100845
338	ENSMUSG00000102841
339	ENSMUSG00000102818
340	ENSMUSG00000104025
341	ENSMUSG00000103337
342	ENSMUSG00000104002
343	ENSMUSG00000104056
344	ENSMUSG00000102591
345	ENSMUSG00000103558
346	ENSMUSG00000104035
347	ENSMUSG00000103306
348	ENSMUSG00000102688
349	ENSMUSG00000102638
350	ENSMUSG00000103758
351	ENSMUSG00000102213
352	ENSMUSG00000104450
353	ENSMUSG00000102317
354	ENSMUSG00000104057
355	ENSMUSG00000103850
356	ENSMUSG00000103367
357	ENSMUSG00000104219
358	ENSMUSG00000103376
359	ENSMUSG00000104137
360	ENSMUSG00000103598
361	ENSMUSG00000102946
362	ENSMUSG00000103498
363	ENSMUSG00000102621
364	ENSMUSG00000103467
365	ENSMUSG00000102636
366	ENSMUSG00000104358
367	ENSMUSG00000104092
368	ENSMUSG00000103564
369	ENSMUSG00000102140
370	ENSMUSG00000104335
371	ENSMUSG00000103007
372	ENSMUSG00000104238
373	ENSMUSG00000103194
374	ENSMUSG00000103649
375	ENSMUSG00000102848
376	ENSMUSG00000102257
